No.,V,Compound,Group,Type,To IS,Ret.Time [min.],from [min.],...to [min.],Sum from [min.],Sum ...to [min.],SSV,QVal.,Peak ID,Comments,Search,Integrate,RI_exp,RT_exp,from,to,sumfrom,sumto
1,NA,Trimethylamine,2-3 min,NA,NA,1.60249443054202,1.10249443054201,2.10249443054203,0.602494430542004,2.60249430338547,7,90,Best Q Value (1),"From NIST: C3H9N, Mol.weight = 59; Contributor: NIST Mass Spectrometry Data Center, 1998.; Synonyms: Trimethylamine, Methanamine, N,N-dimethyl-, TMA, UN 1083, UN 1297, N,N-Dimethylmethanamine  #;",(Default),(Default),629,1.9815000508626701,1.4815000508626701,2.48150005086267,0.9815000508626701,2.98150005086267
2,NA,2-Propenal,40-41min,NA,NA,1.61184857686364,1.11184857686363,2.11184857686365,0.611848576863619,2.61184844970708,7,90,Best Q Value (1),"From NIST: C3H4O, Mol.weight = 56; Contributor: NIST Mass Spectrometry Data Center, 1990.; Synonyms: Acrolein, trans-Acrolein, Acrylaldehyde, Acrylic Aldehyde, Allyl aldehyde, Aqualin, NSC 8819, Prop-2-En-1-al, Propenal, 2-Propen-1-one, CH2=CHCHO, Acraldehyde, 2-Propenal (Acrylaldehyde), Acraldehydeacroleina, Acroleine, Acrylaldehyd, Akrolein, Akroleina, Aldehyde acrylique, Aldeide acrilica, Aqualine, Biocide, Crolean, Ethylene aldehyde, Magnacide H, Propylene aldehyde, Slimicide, Acroleina, Magnacide, Rcra waste number P003, UN 1092, 2-Propenaldehyde;",(Default),(Default),567,1.7645000508626698,1.2645000508626698,2.2645000508626696,0.7645000508626698,2.7645000508626696
3,NA,Ethyl alcohol,4-5min,NA,NA,1.61886418660485,1.11886418660484,2.11886418660486,0.61886418660483,2.61886418660487,7,90,Best Q Value (1),"From NIST: C2H6O, Mol.weight = 46; Contributor: ; Synonyms: Alcohol, Alcohol anhydrous, Algrain, Anhydrol, Denatured ethanol, Ethyl hydrate, Ethyl hydroxide, Jaysol, Jaysol S, Methylcarbinol, SD Alchol 23-hydrogen, Tecsol, C2H5OH, Absolute ethanol, Cologne spirit, Fermentation alcohol, Grain alcohol, Molasses alcohol, Potato alcohol, Aethanol, Aethylalkohol, Alcohol, dehydrated, Alcohol, diluted, Alcool ethylique, Alcool etilico, Alkohol, Cologne spirits, Denatured alcohol CD-10, Denatured alcohol CD-5, Denatured alcohol CD-5a, Denatured alcohol SD-1, Denatured alcohol SD-13a, Denatured alcohol SD-17, Denatured alcohol SD-23a, Denatured alcohol SD-28, Denatured alcohol SD-3a, Denatured alcohol SD-30, Denatured alcohol SD-39b, Denatured alcohol SD-39c, Denatured alcohol SD-40m, Etanolo, Ethanol 200 proof, Ethyl alc, Etylowy alkohol, EtOH, NCI-C03134, Spirits of wine, Spirt, Thanol, Alkoholu etylowego, Ethanol, solution, Ethyl alcohol anhydrous, SD alcohol 23-hydrogen, UN 1170, Tecsol C, Alcare Hand Degermer, Absolute alcohol, Cologne spirits (alcohol), Denatured alcohol, Ethanol, silent spirit, Ethylol, Punctilious ethyl alcohol, Pyro, Spirit, Synasol, USI in oval, Ethanol, Ethanol standard;",(Default),(Default),559,1.7365000508626698,1.2365000508626698,2.23650005086267,0.7365000508626698,2.73650005086267
4,NA,41,11-12min,NA,NA,1.62626953125003,1.12626953125002,2.12626953125004,0.626269531250013,2.62626953125005,7,90,Best Q Value (1),NA,(Default),(Default),527.50556582496,1.62626953125003,1.12626953125003,2.12626953125003,0.6262695312500299,2.62626953125003
5,NA,71,16-17min,NA,NA,1.64965476989749,1.14965476989748,2.14965464274093,0.649654769897474,2.64965464274094,7,90,Best Q Value (1),NA,(Default),(Default),534.1870625813772,1.64965476989749,1.14965476989749,2.1496547698974897,0.6496547698974899,2.6496547698974897
6,NA,1,2-3 min,NA,NA,1.65160357157393,1.15160357157392,2.15160369873051,0.651603571573906,2.65160369873052,7,90,Best Q Value (1),NA,(Default),(Default),534.74386306036,1.65160357157393,1.15160357157393,2.15160357157393,0.6516035715739299,2.65160357157393
7,NA,80,17-18min,NA,NA,1.66056798299157,1.16056798299156,2.16056798299158,0.66056798299155,2.66056798299159,7,90,Best Q Value (1),Formic aci,(Default),(Default),512,1.57200005086267,1.07200005086267,2.0720000508626697,0.5720000508626699,2.5720000508626697
8,NA,"1,4-Pentadiene",2-3 min,NA,NA,1.66602452596032,1.16602452596031,2.16602452596033,0.6660245259603,2.66602452596034,7,90,Best Q Value (1),"From NIST: C5H8, Mol.weight = 68; Contributor: NIST Mass Spectrometry Data Center, 1990.; Synonyms: Penta-1,4-diene, CH2=CHCH2CH=CH2;",(Default),(Default),480,1.4600000508626698,0.9600000508626698,1.9600000508626698,0.4600000508626698,2.4600000508626696
9,NA,Dimethyl sulfide,2-3 min,NA,NA,1.684342956543,1.18434295654299,2.18434295654301,0.684342956542982,2.68434295654302,7,90,Best Q Value (1),"From NIST: C2H6S, Mol.weight = 62; Contributor: ; Synonyms: Methane, thiobis-, Methyl sulfide, Dimethyl monosulfide, Dimethyl thioether, DMS, Methyl Monosulfide, 2-Thiapropane, Dimethyl sulphide, Thiobismethane, (CH3)2S, Dimethylsulfid, Exact-S, Methyl sulphide, Methylthiomethane, Sulfure de methyle, 2-Thiopropane, UN 1164, Methyl thioether, Thiopropane, Sulfide, methyl-, (Methylsulfanyl)methane  #;",(Default),(Default),628,1.97800005086267,1.47800005086267,2.4780000508626703,0.9780000508626701,2.9780000508626703
10,NA,2-Propenenitrile,5-6 min,NA,NA,1.68824055989587,1.18824055989586,2.18824055989588,0.688240559895847,2.68824055989589,7,90,Best Q Value (1),"From NIST: C3H3N, Mol.weight = 53; Contributor: Japan AIST/NIMC Database- Spectrum MS-NW-2179; Synonyms: Acrylonitrile, Acrylon, Carbacryl, Cyanoethylene, Fumigrain, Propenenitrile, Ventox, Vinyl cyanide, VCN, CH2CHCN, Acritet, Acrylnitril, Acrylonitrile monomer, Akrylonitryl, Cianuro di vinile, Cyanure de vinyle, ENT 54, Miller's fumigrain, Nitrile acrilico, Nitrile acrylique, TL 314, Acrylonitrile, inhibited, Akrylonitril, Rcra waste number U009, UN 1093, Vinylkyanid, Cyanoethene, ACN, AN, Propenenenitrile, Propenitrile, Propenonitrile;",(Default),(Default),521,1.60350005086267,1.10350005086267,2.10350005086267,0.60350005086267,2.60350005086267
