No.,Compound,RT_adj,from_adj,to_adj
1,"1,4-Pentadiene",1.46000010172529,0.9600001017252899,1.96000010172529
2,80,1.57199999491377,1.07199999491377,2.07199999491377
3,2-Propenenitrile,1.6035001118978203,1.1035001118978203,2.1035001118978203
4,41,1.62626953125003,1.12626953125003,2.12626953125003
5,"1,3-Cyclopentadiene",1.6280000050863,1.1280000050863,2.1280000050863
6,71,1.64965476989749,1.14965476989749,2.1496547698974897
7,1,1.65160357157393,1.15160357157393,2.15160357157393
8,1-Propanol,1.6980000813802405,1.1980000813802405,2.1980000813802407
9,Cyclopentene,1.6980000813802405,1.1980000813802405,2.1980000813802407
10,"Pentane, 2-methyl-",1.7260000864665097,1.2260000864665097,2.2260000864665095
11,Ethyl alcohol,1.7365000406901403,1.2365000406901403,2.2365000406901405
12,45,1.7424165089925503,1.2424165089925503,2.2424165089925503
13,2-Propenal,1.7645000457764002,1.2645000457764002,2.2645000457764004
14,2-Propen-1-ol,1.7645000457764002,1.2645000457764002,2.2645000457764004
15,"Propanal, 2-methyl-",1.7960000356038803,1.2960000356038803,2.29600003560388
16,"Pentane, 3-methyl-",1.8170000712077197,1.3170000712077197,2.31700007120772
17,"1-Pentene, 2-methyl-",1.8240000406901395,1.3240000406901395,2.3240000406901395
18,Butanal,1.8730000813802503,1.3730000813802503,2.3730000813802503
19,Methacrolein,1.8765000661214595,1.3765000661214595,2.3765000661214595
20,Hexane<N->,1.88000005086267,1.38000005086267,2.38000005086267
21,"2,3-Butanedione",1.8939999898275104,1.3939999898275104,2.3939999898275106
22,2-Butanone,1.91500002543135,1.41500002543135,2.41500002543135
23,"Furan, 3-methyl-",1.9255001068115605,1.4255001068115605,2.4255001068115605
24,"Propane, 2-methoxy-2-methyl-",1.9500000000000401,1.4500000000000401,2.45000000000004
25,"Furan, 2-methyl-",1.9500000000000401,1.4500000000000401,2.45000000000004
26,Ethyl acetate,1.9535001118978297,1.4535001118978297,2.4535001118978297
27,"Cyclopentane, methyl-",1.9640000661214603,1.4640000661214603,2.4640000661214603
28,"Propane, 2-ethoxy-2-methyl-",1.9675000508626699,1.4675000508626699,2.46750005086267
29,"1,3-Pentadiene, 2-methyl-, (E)-",1.9745000203450895,1.4745000203450895,2.4745000203450895
30,Dimethyl sulfide,1.9780000050863,1.4780000050863,2.4780000050863
31,Trimethylamine,1.9814999898275103,1.4814999898275103,2.48149998982751
32,4,1.9910802205404,1.4910802205404,2.4910802205404
33,"1-Propanol, 2-methyl-",1.99550005594893,1.49550005594893,2.4955000559489298
34,Amylene Hydrate,2.02000007629399,1.5200000762939898,2.52000007629399
35,15,2.02342987060551,1.52342987060551,2.52342987060551
36,25,2.03278401692712,1.53278401692712,2.53278401692712
37,Methyl vinyl ketone,2.03750000000004,1.53750000000004,2.53750000000004
38,"2,3-Dihydrofuran",2.05850003560388,1.5585000356038798,2.55850003560388
39,2-Butanol,2.0620000203450894,1.5620000203450894,2.5620000203450894
40,"Butanal, 3-methyl-",2.0655000050863,1.5655000050863,2.5655000050863
41,"Cyclopentene, 3-methyl-",2.0760000864665096,1.5760000864665096,2.5760000864665096
42,Isobutyronitrile,2.09350001017257,1.59350001017257,2.59350001017257
43,"2,4-Hexadiene, (Z,Z)-",2.09350001017257,1.59350001017257,2.59350001017257
44,Benzene,2.09699999491378,1.59699999491378,2.59699999491378
45,5,2.0994321187337706,1.5994321187337706,2.5994321187337706
46,1-Butanol,2.1005001068115705,1.6005001068115705,2.6005001068115705
47,"Butanal, 2-methyl-",2.1005001068115705,1.6005001068115705,2.6005001068115705
48,"Propane, 2-methyl-2-(1-methylethoxy)-",2.10750007629399,1.6075000762939902,2.60750007629399
49,"Butane, 2-methoxy-2-methyl-",2.11800003051762,1.6180000305176199,2.61800003051762
50,"Formic acid, 2-methylpropyl ester",2.12500000000004,1.62500000000004,2.62500000000004
51,6,2.1450335184733498,1.6450335184733498,2.6450335184733498
