No.,Compound
116,Cyclopentanone
122,"3-Penten-2-one, 4-methyl-"
137,2-Cyclopenten-1-one
143,Isovaleric acid
157,p-Xylene
158,Hexenol<2Z->
162,1-Hexanol
185,Butyrolactone
205,2 (DCSE)
220,Octen-3-ol<1->
228,Hepten-2-one<6-methyl-5->
236,Myrcene
237,Linalool oxide<dehydroxy-trans->
240,24
242,Hexanoic acid
259,Hexenyl acetate<2E->
275,Ocimene<(Z)-beta->
277,Benzyl Alcohol
286,Benzeneacetaldehyde
289,Ocimene<(E)-beta->
313,cis-Linalool oxide (furanoid)
316,Heptanoic acid
325,trans-Linalool oxide (furanoid)
337,Linalool
348,Phenylethyl Alcohol
356,Ocimene<allo->
362,Benzyl nitrile
386,Ethyl benzoate
388,Linalool oxide<cis->(pyanoid)
390,1-Nonanol
391,Octanoic acid
392,Benzenecarboxylic acid
405,"Butanoic acid, 3-hexenyl ester, (Z)-"
406,"3,7-Octadiene-2,6-diol, 2,6-dimethyl-"
412,Methyl salicylate
418,Decanal
427,"Benzofuran, 2,3-dihydro-"
432,Benzothiazole
446,cis-3-Hexenyl isovalerate
485,Indole
487,"Formamide, N,N-dibutyl-"
508,gamma-Nonalactone
509,n-Decanoic acid
513,"Propanoic acid, 2-methyl-, 3-hydroxy-2,4,4-trimethylpentyl ester"
514,Hexenyl hexenoate<3Z->
547,trans-?-Bergamotene
572,"Farnesene<(E,E)-alpha->"
573,o-Hydroxybiphenyl
575,Butylated Hydroxytoluene
605,Methyl dihydrojasmonate<cis->
619,Isopropyl tetradecanoate
629,"10,18-Bisnorabieta-8,11,13-triene"
