sample,cultivar,density_start,density_end,mean_percent_damage,twister_damage,No.,Compound,CAS,RPA,QVal,rt,ri,present
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,96,22 (DCSE),NA,0.04868206680419434,99.522819519043,4.47500000000009,764.3181281825257,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,111,"2-Butenal, 3-methyl-",107-86-8,3.4347290007147655e-4,91.7995223999023,5.37821655273448,796.7172258296812,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,116,Cyclopentanone,120-92-3,0.002362259773394531,98.8945846557617,5.37821655273448,796.7172258296812,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,117,"Propanoic acid, 2-methyl-",79-31-2,3.4347290007147655e-4,NA,0,NA,FALSE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,120,Methyl pyruvate,600-22-6,3.4347290007147655e-4,92.8214416503906,5.85098317464204,815.0919356777434,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,122,"3-Penten-2-one, 4-methyl-",141-79-7,3.4347290007147655e-4,NA,0,NA,FALSE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,123,Hexanal,66-25-1,1.9583252168588194e-5,98.7201232910156,5.55461680094412,803.3601527298218,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,127,Butanoic acid,107-92-6,0.09824075608899546,97.4439315795898,5.77336680094413,812.0194600859046,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,137,2-Cyclopenten-1-one,930-30-3,3.4347290007147655e-4,92.4969940185547,6.42254994710299,837.7176378823755,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,138,Furfural,98-01-1,0.011363742486318398,91.9592895507813,6.42254994710299,837.7176378823755,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,143,Isovaleric acid,503-74-2,0.00835021131171386,96.8712615966797,6.86710001627618,855.3153324384363,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,147,"1H-Pyrrole, 2-methyl-",636-41-9,0.003994726249950827,96.5351409912109,6.54251658121758,842.4665656870516,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,150,Ethylbenzene,100-41-4,0.006867823561477242,96.7129516601563,7.05056660970066,862.5779318534578,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,154,Butanoic acid<2-methyl->,116-53-0,0.002508272129771248,95.353630065918,7.07879994710301,863.6955599506232,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,156,"Octane, 4-methyl-",2216-34-4,0.0014647807025261633,94.3181762695313,7.09290008544936,864.2537196384144,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,157,p-Xylene,106-42-3,0.011068766699598043,98.1304626464844,7.25520019531264,870.6784352280467,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,158,Hexenol<2Z->,928-94-9,0.008835768087183121,92.4326477050781,7.31871643066421,873.1927511320947,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,160,2-Furanmethanol,98-00-0,3.4347290007147655e-4,98.6995239257813,7.24815012613947,870.3993553841511,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,162,1-Hexanol,111-27-3,3.4347290007147655e-4,NA,0,NA,FALSE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,166,"2-Cyclopentene-1,4-dione",930-60-9,0.0064566062499280315,88.8906784057617,7.84793345133479,894.1420212580681,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,169,Styrene,100-42-5,3.4347290007147655e-4,98.3054046630859,7.84793345133479,894.1420212580681,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,170,Heptanone<2->,110-43-0,3.4347290007147655e-4,92.4173431396484,7.83383331298844,893.5838615702769,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,175,Pentanoic acid,109-52-4,0.14819071324304567,98.2816619873047,8.01729990641292,900.7215062440386,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,179,Heptanal,111-71-7,3.4347290007147655e-4,96.2451782226563,8.13020019531266,904.5309651649833,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,180,"Pentane, 1-nitro-",628-05-7,3.4347290007147655e-4,97.3829574584961,8.11608327229834,904.054634777902,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,185,Butyrolactone,96-48-0,7.745294197246538e-4,96.3201904296875,8.71586710611997,924.2924206919779,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,188,2-Cyclohexen-1-ol,822-67-3,5.292747565717338e-4,95.4903411865234,8.85699971516945,929.0544889011851,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,190,2(5H)-Furanone,497-23-4,0.00367119819234462,97.8008880615234,8.77231648763038,926.1971244094999,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,194,"1,2-Cyclopentanedione",3008-40-0,3.4347290007147655e-4,98.9719696044922,9.00518290201841,934.0544562934483,TRUE
Q1,Q,2,0.7692307692307693,3.4539115579020025,2.408706826943854,196,"2-Cyclopenten-1-one, 2-hydroxy-",10493-98-8,3.4347290007147655e-4,98.3141937255859,9.00518290201841,934.0544562934483,TRUE
