plant.num,leaf.num,damaged,undamaged,damage.percent
1,1,830,245251,0.33842879335864073
1,2,491,211578,0.23206571571713505
1,3,2067,172161,1.2006203495565198
1,4,525,186273,0.28184438968610587
1,5,1280,258620,0.4949346531590751
1,6,534,311117,0.1716396082502724
1,T,1249,174136,0.717255478476593
10,1,362,443177,0.08168293932221211
10,2,1120,170749,0.6559335633005171
10,3,275,243066,0.1131379954415673
10,4,980,145808,0.6721167562822342
10,5,101,151768,0.06654894312371515
10,6,300,245818,0.12204151038573254
10,7,199,213184,0.09334659261483039
10,T,62,300411,0.020638392069531407
11,1,15,429774,0.003490206480615393
11,10,91,310833,0.029276170805545104
11,11,100,59697,0.16751260532355058
11,12,76,102764,0.07395586002880386
11,13,403,212427,0.18971223055449637
11,14,129,468557,0.027531335568564762
11,15,137,564358,0.0242753713068655
11,2,500,191023,0.2617485852488967
11,3,23,274508,0.008378626488116922
11,4,33,124407,0.026525838578215052
11,5,9,205956,0.004369865408145429
11,6,104,132065,0.07874910082156514
11,7,4,310237,0.0012893368618185452
11,8,335,79356,0.4221482937648067
11,9,9,100164,0.008985264166766503
11,T,21,476273,0.004409235879422096
12,1,69,212421,0.03248266414337565
12,2,609,147655,0.41244793606718366
12,3,4919,305727,1.6089517772391708
12,4,322,253366,0.12708887538185865
12,5,263,328588,0.08003944148903795
12,6,12184,80294,15.174234687523352
12,7,579,184634,0.31359337933425047
12,T,7324,147089,4.979298247999511
13,1,233,379085,0.06146378780484588
13,10,123,445310,0.02762120769800813
13,11,71,178457,0.039785494544904376
13,12,211,122869,0.1717276123350886
13,13,1010,281141,0.35925034057643673
13,14,190,151673,0.1252694942408998
13,15,5,429194,0.0011649743472648732
13,16,308,157418,0.19565742164174366
13,2,62,201884,0.03071070515741713
13,3,8,62714,0.012756322352265842
13,4,974,315662,0.3085578878674025
13,5,739,223875,0.33009491903964266
13,6,1186,286012,0.41466791603149517
13,7,853,102184,0.8347686526266342
13,8,10035,157956,6.353035022411305
13,9,584,99098,0.5893156269551354
13,T,4416,132519,3.3323523419283276
14,1,104,476073,0.021845389257529834
14,10,65,103242,0.06295887332674686
14,11,121,267374,0.04525496121537621
14,12,880,112964,0.7790092418823696
14,13,213,334543,0.06366894539715373
14,14,5,301043,0.0016608922977780583
14,2,24,149261,0.016079216942134916
14,3,25,116943,0.02137793625954525
14,4,400,395628,0.10110507850809346
14,5,21,162713,0.012906159925758852
14,6,1234,93840,1.315004262574595
14,7,21,326294,0.006435913623909726
14,8,3632,199668,1.8190195724903337
14,9,385,330764,0.11639718953695082
14,T,106,223891,0.04734446672711275
15,1,1688,394779,0.4275810010157582
15,2,542,523111,0.1036108971136145
15,3,101,339648,0.029736668550970416
15,4,56,384592,0.014560885301826351
15,5,1292,360995,0.3578996939015776
15,T,1166,421773,0.27645202514148604
16,1,1150,330636,0.3478145150558318
16,10,156,340759,0.0457801554764511
16,11,18,174130,0.010337104462183427
