sample,cultivar,plant_num,leaf,background,damaged,undamaged,leaf_area_px,percent_damage
Q1,Q,1,1,194577,4443,233286,237729,1.868934795502442
Q1,Q,1,2,292775,7831,204690,212521,3.6848123244291155
Q1,Q,1,3,171705,17784,152853,170637,10.422124158300955
Q1,Q,1,4,158661,2682,182742,185424,1.4464147035982398
Q1,Q,1,5,195456,9568,249950,259518,3.6868348245593756
Q1,Q,1,6,243569,2059,310122,312181,0.6595532719800372
Q1,Q,1,T,302824,4236,171626,175862,2.408706826943854
Q10,Q,10,1,279827,2908,441785,444693,0.6539342872498555
Q10,Q,10,2,116478,8426,163732,172158,4.894341244670594
Q10,Q,10,3,241334,5658,238120,243778,2.3209641559123466
Q10,Q,10,4,184543,5919,131398,137317,4.31046410859544
Q10,Q,10,5,198644,2558,149373,151931,1.6836590294278322
Q10,Q,10,6,296900,6176,240929,247105,2.4993423848161713
Q10,Q,10,7,206229,3160,210283,213443,1.4804889361562572
Q10,Q,10,T,311312,2714,297974,300688,0.9025967115415314
Q11,Q,11,1,748963,2409,428235,430644,0.5593947669072367
Q11,Q,11,10,679188,6370,306602,312972,2.035325843845456
Q11,Q,11,11,206120,2318,61810,64128,3.6146457085828345
Q11,Q,11,12,226805,645,104758,105403,0.611937041640181
Q11,Q,11,13,381980,2904,212357,215261,1.349059978351861
Q11,Q,11,14,771568,1625,466617,468242,0.34704276848296395
Q11,Q,11,15,734725,1784,558700,560484,0.318296329600845
Q11,Q,11,2,485548,7567,184617,192184,3.93737251800358
Q11,Q,11,3,644236,1220,277036,278256,0.4384451727905238
Q11,Q,11,4,407558,890,118802,119692,0.7435751762858003
Q11,Q,11,5,544767,809,216058,216867,0.37303969714156604
Q11,Q,11,7,519198,1794,306846,308640,0.5812597200622084
Q11,Q,11,9,285941,198,96551,96749,0.20465327807005756
Q11,Q,11,T,537604,1459,479490,480949,0.30335856816419204
Q12,Q,12,1,410929,847,212848,213695,0.39635929712908585
Q12,Q,12,2,265053,3859,144800,148659,2.595873778244169
Q12,Q,12,3,358471,23789,285628,309417,7.688329988332897
Q12,Q,12,4,415251,1181,251456,252637,0.4674691355581328
Q12,Q,12,5,418733,1631,327292,328923,0.4958607333631276
Q12,Q,12,6,213410,49683,42982,92665,53.61571251281498
Q12,Q,12,7,390021,3344,181209,184553,1.8119456199574107
Q12,Q,12,T,171050,37488,108982,146470,25.594319655902233
Q13,Q,13,1,459238,5870,357372,363242,1.616002554770649
Q13,Q,13,10,504808,1975,442949,444924,0.44389603617696505
Q13,Q,13,11,717991,674,180035,180709,0.3729753360374967
Q13,Q,13,12,390849,3971,107547,111518,3.5608601302031957
Q13,Q,13,13,315475,2592,280574,283166,0.9153641326995473
Q13,Q,13,14,643706,2095,144699,146794,1.427170047822118
Q13,Q,13,15,407339,643,432096,432739,0.1485884101040119
Q13,Q,13,16,581485,2805,155930,158735,1.7670961035688413
