cultivar,sample,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,plant_num,density_treatment,density_start,density_end
Q,Q1,221981.7142857143,3.4539115579020025,7,2.408706826943854,1,2,2,0.7692307692307693
Q,Q10,238889.125,2.3432238572962536,8,0.9025967115415314,10,1.5,1.5,0.125
Q,Q11,275033.64285714284,1.1012433262806647,14,0.30335856816419204,11,0.5,0.5,0.3125
Q,Q12,209627.375,11.583233840162755,8,25.594319655902233,12,1,1,0.875
Q,Q13,215433.17647058822,4.240469480577142,17,20.97982921083628,13,1.5,1.5263157894736843,0.5789473684210527
Q,Q14,239493.66666666666,1.5724455759988494,15,1.0796095048410885,14,0.5,0.5,0.42857142857142855
Q,Q15,405769.3333333333,0.9521821777184877,6,1.2968795677225275,15,2,2,0.625
Q,Q16,287036.0714285714,1.3494826997637033,14,5.752691776978646,16,0,0,0
Q,Q17,152969.4,5.087899321924421,10,8.540522884028293,17,1,1,0.6818181818181818
Q,Q18,199352.73333333334,2.1599323490666933,15,1.7576880124206682,18,2,2,0.7333333333333333
Q,Q19,233326.625,1.7313143152987192,16,4.205840556386874,19,1,1,0.6875
Q,Q2,162558.54545454544,13.66309273595117,11,1.7977666511206345,2,1.5,1.5,0.3333333333333333
Q,Q20,168116.84615384616,1.3643525379238703,13,0.5938476723145254,20,0,0,0
Q,Q4,280913.44444444444,7.1812498301267444,9,2.40019199426127,4,1.5,1.5714285714285714,1.1428571428571428
Q,Q5,250368.18181818182,5.246713258537785,11,0.3022481081915856,5,2,2,0.9230769230769231
Q,Q6,260359.0909090909,1.000498919558615,11,0.659867399666932,6,1,1,0.5
Q,Q7,259698.6875,0.8653852337786354,16,0.2836119975826716,7,0,0,0
Q,Q8,260752.33333333334,0.5655818642098884,12,0.3923326981280125,8,0.5,0.5,0.16666666666666666
Q,Q9,198261.875,2.0338396991147336,16,0.2586996259067252,9,0.5,0.5,0.25
