compound,sample,cultivar,plant_num,conc,mg_tea,conc_ug_mg,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,density_treatment,density_start,density_end
L-theanine,J24,J,24,100.04,21,4.763809523809524,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Gallic acid,J24,J,24,NA,21,NA,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Gallocatechin,J24,J,24,79.483,21,3.784904761904762,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Theobromine,J24,J,24,24.404,21,1.162095238095238,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Paraxanthine,J24,J,24,10.099,21,0.4809047619047619,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Theophylline,J24,J,24,NA,21,NA,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Catechin,J24,J,24,13.915,21,0.6626190476190476,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Epigallocatechin,J24,J,24,342.65,21,16.316666666666666,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Caffeine,J24,J,24,836,21,39.80952380952381,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Epigallocatechin gallate,J24,J,24,1446.4,21,68.87619047619049,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Epicatechin,J24,J,24,174.31,21,8.300476190476191,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Gallocatechin gallate,J24,J,24,7.5792,21,0.36091428571428574,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Epicatechin gallate,J24,J,24,296.54,21,14.120952380952382,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
Catechin gallate,J24,J,24,NA,21,NA,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875
L-theanine,J23,J,23,76.801,20.7,3.710193236714976,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Gallic acid,J23,J,23,NA,20.7,NA,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Gallocatechin,J23,J,23,57.805,20.7,2.792512077294686,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Theobromine,J23,J,23,26.314,20.7,1.271207729468599,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Paraxanthine,J23,J,23,10.099,20.7,0.48787439613526573,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Theophylline,J23,J,23,NA,20.7,NA,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Catechin,J23,J,23,8.3398,20.7,0.4028888888888889,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Epigallocatechin,J23,J,23,398.14,20.7,19.23381642512077,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Caffeine,J23,J,23,985.36,20.7,47.60193236714976,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Epigallocatechin gallate,J23,J,23,1891.5,20.7,91.3768115942029,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Epicatechin,J23,J,23,143.35,20.7,6.92512077294686,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Gallocatechin gallate,J23,J,23,2.8119,20.7,0.13584057971014493,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Epicatechin gallate,J23,J,23,315.95,20.7,15.26328502415459,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
Catechin gallate,J23,J,23,NA,20.7,NA,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666
L-theanine,J22,J,22,104.18,20.6,5.057281553398059,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Gallic acid,J22,J,22,NA,20.6,NA,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Gallocatechin,J22,J,22,67.882,20.6,3.2952427184466018,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Theobromine,J22,J,22,15.264,20.6,0.7409708737864077,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Paraxanthine,J22,J,22,10.099,20.6,0.49024271844660194,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Theophylline,J22,J,22,NA,20.6,NA,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Catechin,J22,J,22,8.6983,20.6,0.42224757281553393,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Epigallocatechin,J22,J,22,390.02,20.6,18.933009708737863,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Caffeine,J22,J,22,703.73,20.6,34.161650485436894,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Epigallocatechin gallate,J22,J,22,1338.6,20.6,64.98058252427184,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Epicatechin,J22,J,22,205.23,20.6,9.9626213592233,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Gallocatechin gallate,J22,J,22,7.7732,20.6,0.3773398058252427,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Epicatechin gallate,J22,J,22,275.52,20.6,13.374757281553396,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
Catechin gallate,J22,J,22,NA,20.6,NA,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333
L-theanine,J21,J,21,78.128,20.3,3.848669950738916,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Gallic acid,J21,J,21,NA,20.3,NA,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Gallocatechin,J21,J,21,73.912,20.3,3.640985221674877,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Theobromine,J21,J,21,18.786,20.3,0.9254187192118227,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Paraxanthine,J21,J,21,10.099,20.3,0.497487684729064,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Theophylline,J21,J,21,NA,20.3,NA,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Catechin,J21,J,21,8.1092,20.3,0.39946798029556646,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Epigallocatechin,J21,J,21,337.12,20.3,16.606896551724137,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Caffeine,J21,J,21,688.33,20.3,33.90788177339901,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Epigallocatechin gallate,J21,J,21,1374.7,20.3,67.7192118226601,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Epicatechin,J21,J,21,152.53,20.3,7.5137931034482754,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Gallocatechin gallate,J21,J,21,10.375,20.3,0.5110837438423645,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Epicatechin gallate,J21,J,21,258.23,20.3,12.720689655172414,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
Catechin gallate,J21,J,21,NA,20.3,NA,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456
L-theanine,J20,J,20,48.218,20.8,2.318173076923077,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Gallic acid,J20,J,20,NA,20.8,NA,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Gallocatechin,J20,J,20,43.59,20.8,2.095673076923077,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Theobromine,J20,J,20,12.394,20.8,0.5958653846153846,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Paraxanthine,J20,J,20,10.099,20.8,0.48552884615384617,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Theophylline,J20,J,20,NA,20.8,NA,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Catechin,J20,J,20,5.181,20.8,0.24908653846153844,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Epigallocatechin,J20,J,20,312.4,20.8,15.019230769230768,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Caffeine,J20,J,20,739.31,20.8,35.543749999999996,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Epigallocatechin gallate,J20,J,20,1504.1,20.8,72.3125,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Epicatechin,J20,J,20,159.34,20.8,7.660576923076923,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Gallocatechin gallate,J20,J,20,9.9487,20.8,0.4783028846153846,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Epicatechin gallate,J20,J,20,307.28,20.8,14.773076923076921,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
Catechin gallate,J20,J,20,NA,20.8,NA,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0
