sample,cultivar,plant_num,leaf,background,damaged,undamaged,leaf_area_px,percent_damage
J1,J,1,10,268627,579,414276,414855,0.13956683660556096
J1,J,1,11,358726,383,414461,414844,0.09232386149974449
J1,J,1,12,373881,159,267242,267401,0.05946125855924248
J1,J,1,13,217118,448,112104,112552,0.3980382401023527
J1,J,1,14,396249,268,379349,379617,0.07059747060853439
J1,J,1,15,321626,38,262730,262768,0.014461426048833952
J1,J,1,16,314972,70,172516,172586,0.04055948918220481
J1,J,1,17,416200,501,215933,216434,0.23147934243233503
J1,J,1,18,408318,248,292200,292448,0.08480140059087428
J1,J,1,19,278421,755,129550,130305,0.5794098461302329
J1,J,1,2,295787,47,287723,287770,0.016332487750634186
J1,J,1,20,184025,60,238654,238714,0.025134679993632544
J1,J,1,21,195027,67,167870,167937,0.03989591334845805
J1,J,1,22,251578,102,111284,111386,0.09157344729140107
J1,J,1,23,291955,5884,242995,248879,2.364201077632102
J1,J,1,24,280622,92,170130,170222,0.054047067946563894
J1,J,1,25,244933,62,273005,273067,0.022705050408874012
J1,J,1,26,351841,11,166148,166159,0.0066201650226590195
J1,J,1,27,328241,468,151251,151719,0.30846499120083837
J1,J,1,28,293563,464,217516,217980,0.21286356546472152
J1,J,1,29,314311,40,197192,197232,0.020280684675914658
J1,J,1,3,407455,330,303908,304238,0.10846771277749656
J1,J,1,30,444080,905,379660,380565,0.23780431726511897
J1,J,1,31,390936,422,289267,289689,0.1456734636109759
J1,J,1,32,561715,221,538680,538901,0.04100938762407195
J1,J,1,33,399190,26,212226,212252,0.012249590109869401
J1,J,1,34,364565,277,246600,246877,0.11220162267039863
J1,J,1,35,427415,89,438476,438565,0.02029345707021764
J1,J,1,36,263898,412,236606,237018,0.1738264604376039
J1,J,1,37,299880,97,200939,201036,0.04825006466503512
J1,J,1,38,187517,398,81958,82356,0.48326776434018165
J1,J,1,39,527107,342,465879,466221,0.07335576904515241
J1,J,1,4,414054,56,413809,413865,0.013530982325154336
J1,J,1,5,227977,86,254437,254523,0.03378869493130287
J1,J,1,6,279588,41,226051,226092,0.018134210852219453
J1,J,1,7,431720,156,373803,373959,0.041715803069320434
J1,J,1,8,347016,4,272668,272672,0.0014669639713648633
J1,J,1,9,221053,0,145243,145243,0
J1,J,1,T,437432,581,356907,357488,0.1625229378328783
J10,J,10,1,666439,20,443844,443864,0.0045058846853991315
J10,J,10,10,331834,19,187195,187214,0.010148813657098294
J10,J,10,11,403894,118,299158,299276,0.039428487416297994
J10,J,10,12,472520,10,230640,230650,0.004335573379579449
J10,J,10,13,471283,45,231842,231887,0.01940600378632696
J10,J,10,14,258900,115,209255,209370,0.05492668481635383
J10,J,10,15,397233,37,357890,357927,0.010337303416618471
J10,J,10,16,512351,1043,527726,528769,0.19725059525047803
J10,J,10,17,604936,522,286918,287440,0.18160311717227942
J10,J,10,18,361488,474,398170,398644,0.11890308144610229
J10,J,10,19,317148,7,202028,202035,0.0034647462073403123
J10,J,10,2,249922,16,142762,142778,0.011206208239364608
J10,J,10,20,364524,1146,320253,321399,0.35656613741797577
J10,J,10,21,256905,44342,14068,58410,75.9150830337271
J10,J,10,22,359476,64,268318,268382,0.023846606702386895
J10,J,10,23,388115,10193,103849,114042,8.937935146700339
J10,J,10,24,568101,3007,541757,544764,0.5519821427260245
J10,J,10,25,609758,194,660918,661112,0.02934449836033834
J10,J,10,26,252660,166,212944,213110,0.07789404532870349
J10,J,10,27,373356,156,371616,371772,0.04196120202704883
J10,J,10,28,574897,81,540830,540911,0.014974737063953221
J10,J,10,29,493867,76,281766,281842,0.026965462918940402
J10,J,10,3,472959,57,353874,353931,0.016104833993066447
J10,J,10,30,575926,187,199596,199783,0.09360155769009375
