Compound,CAS,inchikey,CID,Pretty Name,LaTeX,Notes,Aroma,Chemical Family,Health,Group,RI Lab,RI Lit,Source
1-Hexanol,111-27-3,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,NA,1-Hexanol,NA,NA,"resin, flower, green",Aliphatic Alcohol,NA,NA,NA,867,NIST
"1-Hexanol, 2-ethyl-",104-76-7,YIWUKEYIRIRTPP-UHFFFAOYSA-N,7720,2-Ethylhexanol,NA,NA,"floral, rose, green, sweet",Aliphatic Alcohol,NA,17-18min,1028,1026.3,NIST
1-Nonanol,143-08-8,ZWRUINPWMLAQRD-UHFFFAOYSA-N,8914,1-Nonanol,NA,NA,"fatty, green, orange",Aliphatic Alcohol,NA,21-22min,1171,1169.2,NIST
1-Octanol,111-87-5,KBPLFHHGFOOTCA-UHFFFAOYSA-N,957,1-Octanol,NA,NA,"burnt, chemical, green, mushroom, metal",Aliphatic Alcohol,NA,18-19min,1070,1070,NIST
"1,2-Cyclopentanedione",3008-40-0,XZDMGEBEHZDGES-UHFFFAOYSA-N,543698,"1,2-Cyclooctanedione",NA,NA,NA,Cyclic ketone,NA,23-24min,NA,NA,NA
13 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-25min,NA,NA,NA
168,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-30min,NA,NA,NA
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,35-36min,NA,NA,NA
"1H-Pyrrole, 2-methyl-",636-41-9,TVCXVUHHCUYLGX-UHFFFAOYSA-N,NA,2-Methyl-1H-pyrrole,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Cyclopenten-1-one, 2-hydroxy-",10493-98-8,WOPKYMRPOKFYNI-UHFFFAOYSA-N,NA,2-Hydroxycyclopent-2-en-1-one,NA,NA,"maple, caramel",NA,NA,NA,NA,NA,NA
