Plant,Twister.start,Twister.end,Density,Leaves,Leafhoppers.start,Leafhoppers.end,Notes
1,1,21,2,13,26,10,
2,2,36,1.5,12,18,4,
4,4,22,1.5,7,11,8,
5,5,23,2,13,26,12,
6,6,26,1,8,8,4,
7,7,24,0,,0,0,
8,8,25,0.5,12,6,2,
9,9,37,0.5,12,6,3,
10,10,30,1.5,8,12,1,
11,11,35,0.5,16,8,5,
12,12,33,1,8,8,7,
13,13,28,1.5,19,29,11,
14,14,34,0.5,14,7,6,
15,15,31,2,8,16,5,
16,16,27,0,,0,0,
17,17,29,1,22,22,15,
18,18,32,2,15,30,11,
19,19,29,1,16,16,11,start twister dropped in dirt
20,20,38,0,,0,0,
blank,3,40,,,,,
,,,,,,,
,,,,,,,
