Compound,CAS,RDA Loading,Correlation,Response type,Response estimate,Change point,Chemical Family,Aroma
1-Hexanol,111-27-3,-0.209,-0.844***,step,3.169,1.436,Aliphatic alcohol,"resin, flower, green"
(3Z)-Hexenyl hexanoate,31501-11-8,-0.195,-0.827***,line,0.842,-,Fatty acid ester,"green, fruity, fatty, tropical"
cis-3-Hexenyl isovalerate,35154-45-1,-0.213,-0.784***,line,0.778,-,Fatty acid ester,"fresh, green, apple, fruity, tropical, pineapple, dirty"
Benzyl alcohol,100-51-6,-0.186,-0.759***,line,0.554,-,Cyclic alcohol,"fruity, floral, sweet"
Phenethyl alcohol,60-12-8,-0.208,-0.713***,line,0.897,-,Aromatic alcohol,"honey, spice, rose, lilac"
cis-3-Hexenyl butyrate,16491-36-4,-0.18,-0.684**,line,0.782,-,Fatty acid ester,"wine, green"
(Z)-2-Hexenol,928-94-9,-0.174,-0.634**,line,0.688,-,Alkenyl alcohol,"leaf, green, wine, fruit"
Isovaleric acid,503-74-2,0.166,0.634**,step,-2.662,1.436,Acid,"sour, cheesy, rancid"
Diendiol I,13741-21-4,-0.173,-0.632**,line,0.698,-,Oxygenated monoterpene,-
cis-Linalool oxide (pyranoid),14009-71-3,-0.149,-0.616**,line,0.553,-,Oxygenated monoterpene,"citrus, green"
"(3-hydroxy-2,4,4-trimethylpentyl) 2-methylpropanoate",74367-34-3,-0.122,-0.579*,null,-,-,Aliphatic ester,-
Benzothiazole,95-16-9,-0.135,-0.574*,null,-,-,Nitrogen sulfur containing,"rubbery, sulfury, vegetal, gasoline"
ɣ-Nonalactone,104-61-0,-0.125,-0.558*,null,-,-,Heterocyclic compound,"coconut, creamy, waxy, sweet, buttery, oily"
Indole,120-72-9,-0.091,-0.536*,null,-,-,Nitrogen containing,"concentrated = fecal, animal; dilute = sweet, floral"
Coumaran,496-16-2,-0.12,-0.522*,line,0.386,-,Heterocyclic compound,-
cis-Linalool oxide (furanoid),5989-33-3,-0.118,-0.518*,null,-,-,Oxygenated monoterpene,"earthy, floral, sweet, woody"
trans-Linalool oxide (furanoid),5989-33-3,-0.105,-0.511*,null,-,-,Oxygenated monoterpene,"earthy, floral, sweet, woody"
"1,2,4-Trimethylbenzene",95-63-6,0.147,0.499*,line,-0.169,-,Hydrocarbon,plastic
o-Hydroxybiphenyl,90-43-7,-0.097,-0.489*,null,-,-,Aromatic compound,-
Methyl salicylate,119-36-8,-0.14,-0.476*,line,0.292,-,Heterocyclic compound,wintergreen
cis-Methyl dihydrojasmonate,39647-11-5,0.162,0.469*,line,-0.461,-,Cyclic ester,"jasmine, floral, green"
Benzyl nitrile,140-29-4,-0.103,-0.469*,null,-,-,Nitrogen containing,-
