Compound,CAS,RI,RI_lab_lit,Source,density_rda_load,density_rda_corr,density_corr_pval,damage_rda_load,damage_rda_corr,damage_corr_pval
1-Hexanol,111-27-3,870.9515674357051,867,NIST,-0.023954585290467678,-0.10816442447245647,0.6692228518524879,-0.2091276315833721,-0.8436822208612967,1.0843046096332024e-5
2-Ethylhexanol,104-76-7,1030.9883263121026,1028,standard,-0.018382836658567357,-0.032047721703865564,0.8995440499576788,0.036898308604866856,0.21707477790480745,0.3869082217959521
1-Nonanol,143-08-8,1172.9135438660217,1171,standard,-0.10419509859397788,-0.5898020572816919,0.009986184604803756,-0.062181856500336946,-0.3730650287897968,0.12730389751509985
1-Octanol,111-87-5,1073.3104464806229,1070,standard,0.05350913901687652,0.32796609719205655,0.18396202775260068,-0.07353479667280183,-0.43945515643665406,0.06804133956273338
"1,2-Cyclooctanedione",3008-40-0,935.0949329445734,NA,NA,0.05380101862506756,0.17216503115151546,0.4945283558771111,-0.04275099372353527,-0.10985087165640606,0.6643492466971801
"1,2,4-Trimethylbenzene",95-63-6,996.6027066862383,989,NIST,0.02236544242488122,0.07691908268926123,0.7616145973682054,0.14715637400553852,0.4987364804327068,0.03513275270841633
"10,18-Bisnorabieta-8,11,13-triene",32624-67-2,2057.006511184251,NA,NA,-0.06814417854331234,-0.11376594336960509,0.653084763599238,-0.1483399887697871,-0.457844882970747,0.05605333852600668
10,NA,1162.5182617901976,NA,NA,0.059269286220091894,0.3546559051451144,0.14871259366198122,0.022524007865057018,0.27960660323273184,0.2611387103819643
9,NA,1149.1976356249643,NA,NA,0.013239033131201589,0.08227240724059634,0.745526158714119,-0.03270216974787457,-0.17352899383373077,0.49106249407890135
13,NA,1265.6203138733472,NA,NA,0.08046471315713502,0.4300728018291148,0.07484357901423351,-0.05196734766373004,-0.24371837830475787,0.32976903242226707
14,NA,1283.2569251392038,NA,NA,-0.07451365891909664,-0.34866615086975494,0.15618265620018437,-0.04983059433403927,-0.3710132139829371,0.12957612332736848
